author_name,points,commits
Paul D'Ambra,953,137
Sam Pennington,716,104
Andrew Maguire,624,91
Julian Bez,472,72
posthog[bot],450,70
Jon McCallum,370,49
mendral-app[bot],345,72
Juraj Majerik,341,52
Tom Owers,340,51
Raúl Negrón-Otero,334,56
Thomas Obermüller,322,50
Rafael Audibert,313,46
Phil Haack,309,42
Robbie,302,46
Alex V,298,44
Matt Pua,284,45
Matt Brooker,268,39
Gustavo H. Strassburger,268,37
Tue Haulund,264,35
Jovan Sakovic,255,41
Eli Reisman,255,38
Yasen,252,35
Tom Piccirello,246,32
Lucas Ricoy,245,38
Adam Leith,242,40
Reece Jones,237,32
Vasco de Krijger,226,30
Nick Best,225,32
Anders,224,33
Jordan Mryyan,220,32
Michael Matloka,218,33
Marius Andra,216,31
Georgiy Tarasov,215,32
Dylan Martin,208,29
Fernando Gomes,207,34
Daniel Marchuk,198,28
Aleksander Błaszkiewicz,195,30
Alex Lider,179,25
José Sequeira,179,25
Alessandro Pogliaghi,178,24
Vojta Bartoš,173,24
Arthur Moreira de Deus,166,24
andrew j. mcgehee,165,26
Meikel Ratz,163,25
Richard Solomou,162,22
Rodrigo Iloro,161,25
Hugues Pouillot,161,24
Georgis Andonis,157,24
Marcel Poelker,157,23
estefania,151,21
Marcus Hof,147,23
Adam Bowker,140,22
Tomás Farías Santana,134,21
Frank Hamand,134,18
Alex Lebedev,131,19
Daniel RC,129,18
Haven,124,19
Javier Bahamondes,124,17
Andy Zhao,123,17
Georges-Antoine Assi,118,18
Paweł Ledwoń,118,17
Hayne Ryu,117,18
Chris Volzer,116,19
Carlos Marchal,109,15
Joshua Snyder,107,16
Paweł Szczur,104,14
Lucas Faria,102,14
Ben White,100,14
George Munyoro,96,13
Oliver Browne,94,14
Matheus Batista,87,11
Radu Raicea,86,14
Kim Svatos Dugan,82,15
Zach Brown,81,11
Bryan Ciaraldi,80,11
scheduled-actions-posthog[bot],76,26
Christiaan Hendriksen,74,12
Catalin Irimie,73,11
Daniel Visca,70,11
Luke Belton,68,11
Leonardo Menezes,68,9
Patricio,65,10
Ross,64,9
Sandy Spicer,53,8
Peter Kirkham,53,7
Eric Duong,52,8
Charles Vien,48,6
Abhischek,47,6
James Greenhill,43,7
Emanuele Capparelli,41,6
Anirudh Pillai,38,5
Xander,37,6
posthog-js-upgrader[bot],36,16
Daniel Escribano,35,6
Brandon,35,5
Christian Rafferty,33,5
inkeep[bot],32,11
Pawel Cebula,32,5
Steven Shults,32,5
Daniel J,31,4
timgl,30,5
Manoel Aranda Neto,27,6
Marce Coll,23,3
Nicholas Waltz,22,3
Raquel Smith,22,3
Joshua Ordehi,21,3
Jonathan Mieloo,18,4
ryans-posthog,17,3
Sven Lange,17,2
Arnaud Hillen,16,2
coryslater,15,2
HaynesPostHog,14,2
Sarah Sanders,14,2
Michi,12,4
Luca Zani,12,2
Felipe Rosa de Almeida,9,1
Christophe Eynius Tranberg,8,1
Ioannis J,8,1
Kliment Minchev,8,1
Matt Van Horn,8,1
Sean Geiger,8,1
clickhouse-sync-posthog[bot],7,3
Anna Garcia,7,1
Dustin Byrne,7,1
Naseem Alnaji,7,1
Rory Shanks,7,1
willwearing,7,1
dependabot[bot],6,2
Alexandr Kozhevnikov,5,1
Joe Martin,5,1
Kyle Swank,5,1
Phill,5,1
tests-posthog[bot],4,2
Archie Sarre Wood,4,1
Raúl Negrón,3,1
renovate[bot],3,1
Danny Schofield,2,1
James Hawkins,2,1
